Female,Male,Cultivar
Unspecified,Unspecified,Asgrow AG4907
Unspecified,Unspecified,Asgrow AG4933RR2Y
Unspecified,Unspecified,Asgrow AG5332RR2Y
Unspecified,Unspecified,Asgrow AG5534RR2Y
Unspecified,Unspecified,Asgrow AG5606
Unspecified,Unspecified,Asgrow AG5632RR2Y
Unspecified,Unspecified,Asgrow AG5831RR2Y
Unspecified,Unspecified,Asgrow AG6534
Unspecified,Unspecified,Asgrow AG7733
Unspecified,Unspecified,Asgrow AG7934
Unspecified,Unspecified,Asgrow X3826
Unspecified,Unspecified,Asgrow X3836
Unspecified,Unspecified,Asgrow X5512
Unspecified,Unspecified,Asgrow X5803
Williams,Essex,Asgrow XP4136
PI 417288,(T135*PI 83945-4),Asmara
Unspecified,Unspecified,AgraTech AT550
A86-301024,Resnik,Athow
R92-1258,AU92-763,AU00-027
NC-Roy,G92-1110,AU02-0137
G92-2381,G93-1749,AU02-1126
NC-Raleigh,G92-1110,AU02-2814
NC-Raleigh,G92-1110,AU02-2844
NC-Raleigh,G92-1110,AU02-3104
NC-Raleigh,G92-1110,AU02-3223
AU94- 507,G94-1572,AU03-2801
NC-Roy,G92-1110,AU03-506
Holmberg 840-7-3,(Harosoy 63*Altona),AU313
N73-693,F76-8757,AU82-204
N73-693,F76-8757,AU82-211
N74-1572,((Govan*Davis)*F76-8846),AU82-589
Wright,F76-8846,AU83-1018
Wright,Coker 79-501,AU85-1086
Wright,Coker 79-501,AU85-1088
F76-8757,Braxton,AU85-1797
D77-6103,Braxton,AU85-1814
Coker 79-760,Johnston,AU86-1686
Braxton,Johnston,AU86-1874
Braxton,Johnston,AU86-2126
Coker 79-760,N77-114,AU86-888
J80-293,N81-1756,AU87-547
J80-293,N81-320,AU87-727
G80-1515,Stonewall,AU89-1424
Stonewall,Coker 6738,AU89-2256
Stonewall,Coker 6738,AU89-2363
Stonewall,Coker 6738,AU89-2511
Unspecified,Unspecified,AU89-589
D82-2228,Coker 6738,AU90-1698
Hutcheson,AU82-589,AU90-442
Hutcheson,AU82-589,AU90-519
Hutcheson,AU82-589,AU90-585
Hutcheson,AU82-589,AU90-592
N85-492,Coker 85-483,AU91-13
AU82-211,AU82-589,AU91-1371
G83-198,N85-492,AU91-158
AU82-211,Coker 85-483,AU91-1970
N85-492,Coker 85-483,AU91-41
G83-198,AU89-589,AU91-788
Hagood,Howard,AU92-2427
G83-969,N86-491,AU92-3222
G83-969,N86-491,AU92-3414
G83-198,AU85-1088,AU92-763
N85-574,Haskell,AU92-916
TN87-198,SC84-1531,AU93-1839
AU86-2126,F83-1648,AU93-868
Carver,G86-1267,AU94-2471
Stonewall,Haskell,AU94-2672
Dillon,N85-492,AU94-507
AU87-727,Cook,AU94-863
Carver,N90-516,AU96-1353
N90-1085,D87-4429,AU96-1693
N90-1085,R90-844,AU96-205
N86-7682,V88-466,AU96-6
SC88-2872,D87-4429,AU97-10
N91-1639,Benning,AU97-1637
SC89-181,AU90-592,AU97-55
SC91-2007,AU90-585,AU99-1849
SC91-2007,AU90-585,AU99-1977
SC91-2007,AU90-585,AU99-2006
N92-727,AU90-585,AU99-2729
Bedford,Crawford,Avery
Otootan,NA,Avoyelles
AX990,NA,AX1390
Ford,PI 68708,AX162-12
D49-2491(4),AX162-12,AX210-39-2
Hawkeye 63,FC 31122,AX227-31
Adams,Hawkeye,AX29-163-1-2
Adams,Hawkeye,AX29-267-1-1-2
HP202,M81-382,AX4735
Asgrow A2943,HP204,AX4739
AgriPro AP2190,HP204,AX4741
Asgrow A2943,HP201,AX4742
Hawkeye,Clark,AX50F40-2
Hawkeye,Clark,AX50F58-2
Unspecified,Unspecified,AX5152-105
Hawkeye,Harosoy,AX55-22-1
Hawkeye,Harosoy,AX55-60-3
Hawkeye,Harosoy,AX55F24-2
Hawkeye,Harosoy,AX55P8-2
Adams,Harosoy,AX56P64-1
Harosoy,Clark,AX58-58-1
Harosoy,Clark,AX58P23-2
Harosoy,Clark,AX58P39-3
A50-6838,A50-7537,AX80-21
Corsoy,Williams,AX819
A50-7401,A50-6838,AX84-90
A50-7401,A50-6838,AX84-98
CX407BC7-326,AP68-1022,AX900-4-3
Beeson,AP68-1022,AX901-40-2
(AP68-1216*AP68-1016),(Beeson*AP68-1119),AX930
(Calland*AP68-1324),(Steele*AP68-1216),AX965
AX930,AX965,AX990
Asgrow A2506,Northrup King S19-90,AXN1-55
Manchu,NA,B. H. Manchu
Unspecified,Unspecified,B01817B006
LG92-4208,LG94-1128,B04-7820
Loda,LG93-7054,B05-8046
Unspecified,Unspecified,BA 015355
Unspecified,Unspecified,BA 743303
CX797-21,D76-8070,BARC-6
CX797-21,D80-6931,BARC-7
Unspecified,Unspecified,Barc6
PI 20798,NA,Barchet
(Maple Amber*Evans-1-1-10),Pioneer 9061,Barnes
Unspecified,Unspecified,Baron
BSR 301,Essex,Bass
Mukden,Unknown,Bavender Special
Bavender Special,NA,Bavender Special-2
York,R62-550,Bay
(Amsoy*Portage),Holmberg 827-4,BC 1413
(Amsoy*Portage),Holmberg 840-7-3,BD21115
(Amsoy*Portage),Holmberg 840-7-3,BD21117
(Amsoy*Portage),Holmberg 840-7-3,BD22115-13
Forrest (2),(D68-18*PI 88788),Bedford
C1253,Kent,Beeson
Beeson,Arksoy,Beeson 80
Beeson 80 (7),PRX9-249,Beeson 80 BC6
Fayette,LN80-10398,Bell
Bavender Special,NA,Bellatti L-263
Hutcheson,Coker 6738,Benning
Benning (4),Resnik RR,Benning-RR
M74-270,A78-123018,Bert
FC 33243,Perry,Bethel
Fiskeby V,Harosoy 63,Bicentennial
Pelican #2,Ogden,Bienville
PI 240664,NA,Bilomi No. 3
PI 23211,NA,Biloxi
Introduction,NA,Bitterhof
(Calland*Altona),Holmberg 840-7-3,BK-17-1-4
Unspecified,Unspecified,BK22-1-3
Introduction,NA,Blackeye
Unknown,Unknown,Blackeye Edible
Mukden,Richland,Blackhawk
Introduction,NA,Blue Side
G81-152,Coker 6738,Boggs
Boggs,MON RR,Boggs RR
Asgrow A5979,DPL 3589,Bolivar
Unspecified,Unspecified,BOLIVAR-2-LOAM02
C1266R,C1253,Bonus
PI 54563-3,NA,Boone
Unspecified,Unspecified,Bradford
D70-3115,J74-39,Bradley
Jackson,D49-2491,Bragg
F59-1505,(Bragg (3)*D69-7965),Braxton
Young,N73-1102,Brim
Pride B152,HW8039,Brock
Centennial,Bedford,Bryan
L69U40-16-4,A76-304020,BSR 101
Pride B216,AX901-40-2,BSR 201
L15,AP68-1016,BSR 301
(Beeson*AP68-1016),(L15*Colland),BSR 302
Ogden,NA,Burdette #12
Arksoy,NA,Burdette #13
Arksoy,NA,Burdette #19
Arksoy,NA,Burdette #20
K74-113-76-486,Century,Burlison
Unspecified,Unspecified,Burnette
T135,PI 83945-4,BV-4
Union (8),(PI 86972-1*PI 84637),C-Union BC
Unspecified,Unspecified,C.N.S-4
Clemson,NA,C.N.S.
Unspecified,Unspecified,C0179
Dunfield,Manchu,C101
Lincoln,(A45-251*Earlyana),C1013
Lincoln,(A45-251*Earlyana),C1024
Lincoln,(Dunfield*A45-251),C1048
Lincoln (2),A45-251,C1056
Lincoln (2),A45-251,C1057
Lincoln (2),A45-251,C1060
C985,NA,C1065
C985,NA,C1066
C985,NA,C1067
C985,NA,C1068
C985,NA,C1069
Ogden,Kent,C1070
C985,NA,C1071
C985,NA,C1074
C985,NA,C1076
C985,NA,C1078
C985,NA,C1079
Unspecified,Unspecified,C11
Hawkeye,Mandarin (Ottawa),C1105
Hawkeye,Mandarin (Ottawa),C1106
Mandarin (Ottawa),Lincoln,C1117
Wabash,Hawkeye,C1128
Perry,Mandarin (Ottawa),C1160
LX1061-9-9,Blackhawk,C1212
C1067,Monroe,C1213
LX1061-9-15,Richland,C1220
C1070,Adams,C1223
CX192-28-3,NA,C1225
Korean,C1067,C1245
Blackhawk,Harosoy,C1253
Harosoy,Clark,C1255
Harosoy,C1079,C1264
Harosoy,C1079,C1265
Harosoy,C1079,C1266
Harosoy,C1079,C1266R
Harosoy,C1079,C1268
Mandarin (Ottawa),Clark,C1270
Mandarin (Ottawa),Clark,C1273
Mandarin (Ottawa),Clark,C1276
C1069,Clark,C1278
C1069,Clark,C1282
Mandarin (Ottawa),C1069,C1291
Lindarin (5),Mukden,C1294
C1294,NA,C1294R
Mukden,Mandarin (Ottawa),C1296
Mukden,Mandarin (Ottawa),C1299
Mukden,Mandarin (Ottawa),C1301
C1069,Clark,C1306
Wabash,C1069,C1311
Lindarin (8),Mukden,C1315
C1223 (8),Mukden,C1317
C1223 (8),Mukden,C1317-71
C1223 (8),Mukden,C1317-71-99
Harosoy,C1069,C1335
Harosoy,C1069,C1336
Lindarin,A50-8618-1,C1347
Lindarin,Harosoy,C1362
Lindarin,Shelby,C1367
(Lindarin*(PI 65338*C1079)),(Lindarin*L49-4196-12),C1375
CX291-42-1,CX258-2-3-2,C1376
Adelphia (8),Mukden,C1421
C1266R (8),C1253,C1423
C1253,Kent,C1424
C1253,Kent,C1426
Blackhawk,Harosoy,C1429
PI 70218-2-6-7,NA,C143
C1253,Kent,C1430
C1253,Kent,C1431
C1253,Kent,C1432
C1253,Kent,C1435
C1253,Kent,C1437
C1253,Kent,C1439
C1253,Kent,C1447
C1253,Kent,C1449
C1253,Kent,C1452
C1266R,C1253,C1453
C1266R,C1253,C1455
C1266R,C1253,C1456
C1266R,C1253,C1457
Dunfield,Midwest,C146
C1266R,C1253,C1470
C1266R,C1253,C1471
C1266R,C1253,C1473
C1266R,C1253,C1474
C1266R,C1253,C1475
C1266R,C1253,C1476
Amsoy (8),C1253,C1477
(C1264 (6)*Wayne),(C1264 (8)*C1253),C1479
Dunfield,Midwest,C148
(C1266R (7)*Wayne),(C1266R (8)*C1253),C1480
Cutler (4),SL5,C1481
C1266,C1265,C1483
Dunfield,Midwest,C149
Dunfield,Midwest,C150
C1317-71,Amsoy,C1504
C1317-71,Amsoy,C1506Y
C1317-71,C1253,C1508
Dunfield,Midwest,C151
(Amsoy*C1253),(Wayne*C1317-71),C1512
CX413,CX412,C1512-44
C1432,C1430,C1514
C1432,C1430,C1515
Amsoy,Cutler,C1518
Bonus,Cutler,C1520
Beeson,L63-1397,C1523
Calland,L63-1397,C1528
Calland,L63-1397,C1529
Dunfield,Midwest,C153
L63-0007-1,Amsoy,C1532
Dunfield,Midwest,C154
C1421,Calland,C1541
Calland,Bonus,C1545
Dunfield,Midwest,C155
Williams,Beeson,C1553
Williams,L69L-6-1,C1558
Williams,L69L-6-1,C1559
Illini,Mandell,C156
Beeson,PI 68788,C1566
C1421,Williams,C1573
Wells,CX463-3,C1598
Illini,Mandell,C160
Wells,C1512,C1603
Illini,Mandell,C162
Harcor,L69U37-17-5,C1623
Century,Hodgson,C1625
Century,Hodgson,C1627
Century,Hodgson,C1628
Illini,Mandell,C163
Hodgson,Cumberland,C1631
Union,Century,C1635
Union,Century,C1636
Century,Wells II,C1638
Illini,Mandell,C164
Century,NA,C1640
L69U40-16-4,Cumberland,C1647
A75-305022,Century,C1653
Hobbit,Century,C1655
Hobbit,Century,C1657
Nebsoy,A75-305022,C1665
Midwest,Dunfield,C167
Hobbit,Lakota,C1678
Midwest,Dunfield,C168
Midwest,Dunfield,C169
A77-314013,L73-4673,C1692
Hobbit,Amsoy 71,C1695
Midwest,Dunfield,C170
Midwest,Dunfield,C171
HW79015,Cumberland,C1717
Midwest,Dunfield,C172
HW79015,A79-334010,C1720
Century,NA,C1726
Century,NA,C1727
Dunfield,MM-31,C173
Century 84,Harper,C1732
A80-244003,Century 84,C1736
A80-244003,Century 84,C1738
Dunfield,MM-31,C174
A80-244003,Century 84,C1742
A80-244003,Williams 82,C1747
Dunfield,MM-31,C175
C1627,Harper,C1758
Sparks,Century,C1764
Winchester,Harper,C1768
Dunfield,MM-21,C178
Dunfield,MM-21,C180
C1655,Pella 86,C1813
Dunfield,MM-21,C183
(Spencer (2)*Pella),Resnik,C1842
Dunfield,MM-31,C185
A86-301024,Resnik,C1875
CRS3-998-24-1,C1813,C1939
CRS3-998-24-1,HC85-2206,C1944
Unspecified,Unspecified,C1954
HC86-4367,HS88-4909,C1963
IA3003,Stressland,C1979
Olympus,CX1307-205,C1981
Dunfield,Midwest,C2
Midwest,Dunfield,C232
Midwest,Dunfield,C233
Midwest,Dunfield,C235
Midwest,Dunfield,C240
Dunfield,NA,C28
Dunfield,NA,C39
Unspecified,Unspecified,C3S1-53
Unspecified,Unspecified,C3S1-57
Unspecified,Unspecified,C3S1-62
Unspecified,Unspecified,C3S1-69
Unspecified,Unspecified,C3S1-71
Illini,Mandell,C4
Dunfield,NA,C40
T117,Mansoy,C425
Dunfield,Mansoy,C439
Dunfield,Mansoy,C447
Dunfield,Mansoy,C453
Dunfield,Mansoy,C458
Dunfield,Mansoy,C461
Dunfield,Mansoy,C463
Dunfield,Mansoy,C464
PI 54592,NA,C470
Patoka,C171,C490
C143,C240,C499
C143,C240,C500
C143,C240,C501
C143,C240,C502
Patoka,L37-1355,C508
L37-1355,Richland,C509
Illini,Mandell,C56
Illini,Mandell,C6
Illini,Mandell,C60
Patoka,L37-1355,C612
Illini,Midwest,C62
Dunfield,Manchu,C66
Mukden,Richland,C683
Illini,Mandell,C7
Dunfield,Manchu,C72
Lincoln (2),Richland,C739
Lincoln (2),Richland,C764
Lincoln (2),Richland,C776
Lincoln,(Richland*Earlyana),C789
Illini,Mandell,C79
Lincoln,(Richland*Earlyana),C790
Lincoln,(Richland*Earlyana),C791
C143,Lincoln,C799
C143,Lincoln,C805
Illini,Midwest,C83
CX531,NA,C84
Dunfield,Lincoln,C859
Dunfield,Lincoln,C873
Dunfield,Manchu,C91
Lincoln,Earlyana,C931
Lincoln,(Richland*Earlyana),C976
Lincoln,(Richland*Earlyana),C977
Lincoln,(Richland*Earlyana),C978
Lincoln,(Richland*Earlyana),C979
Lincoln,(Richland*Earlyana),C981
Lincoln,(Richland*Earlyana),C983
Lincoln,Ogden,C985
Lincoln,Ogden,C986
C1253,Kent,Calland
Strain 171,A.K. (Harrow),Capital
Dunfield,NA,Carlin
Williams,PI 88788,Cartter
J80-293,N81-1756,Carver
Asgrow A5403,Hutcheson,Caviness
Unspecified,Unspecified,Caviness-RR
PI 65393,NA,Cayuga
Unspecified,Unspecified,CBN 1900 HO
Unspecified,Unspecified,Celeste
D64-4636,Pickett 71,Centennial
Calland,Bonus,Century
Century (5),Williams 82,Century 84
Asgrow A4595,DeKalb CX415,CF461
A76-304020,Land O Lakes Max,Chamberlain
A79-236002 (3),HW79149,Chapman
PI 71663,NA,Charlee
HC74-643RE,HC78-676,Charleston
Charleston (6),Sprite 87,Charleston BC
PI 93057,NA,Cherokee
Essex,V71-793,Chesapeake
(Evans*(Merit*Lee)),(M65-69*M65-227 E1142),Chico
Illini,Manchu A,Chief
Lincoln (2),Richland,Chippewa
Chippewa (8),Blackhawk,Chippewa 64
Burlison,Asgrow A3733,Cisne
Unspecified,Unspecified,CL0J095-4
CX1705R-108,Dwight,CL0J095-4-6
Kottman,Dwight,CL0J173-6-2
Kottman,Dwight,CL0J173-6-8
Kottman,IA3011,CL0J177-9
Lincoln (2),Richland,Clark
(Clark (5)*L49-4091),(Clark (6)*Blackhawk),Clark 63
Renville,Capital,Clay
PI 71659,NA,Clemson
N77-114,N77-179,Clifford
Unspecified,Unspecified,Clifford RR
Kottman,Dwight,CLOJ173-6-2
Kottman,Dwight,CLOJ173-6-8
Introduction,NA,Cloud
Crest,L48-7289,CM1
Acme,Blackhawk,CM119
Acme,Blackhawk,CM121
Acme,Blackhawk,CM127
Acme,Blackhawk,CM145
Acme,Blackhawk,CM147
Acme,Blackhawk,CM148
Acme,L48-7289,CM21
Acme,L48-7289,CM29
Unspecified,Unspecified,CM293
Acme,L48-7289,CM30
Unspecified,Unspecified,CM304
Acme,Monroe,CM31
5601T,PI 547879,CM4022
Unspecified,Unspecified,CM497
Acme,L48-7289,CM53
Acme,L48-7289,CM61
Acme,L48-7289,CM79
Acme,Monroe,CM9
L70-2283,Beeson,CN210
Beeson,L70-2283,CN290
F57-735,D58-3358,Cobb
Dare,D64-3937,Coker 156
Hampton,NA,Coker 208
Hutton,N63-858,Coker 237
Majos,Lee,Coker 240
(N64-2451*Dyer),Pickett 71,Coker 317
Jackson,Corker 56-251,Coker 318
Hampton,NA,Coker 3207
Hampton 266,Bragg,Coker 338
Corker 71-211,Centennial,Coker 368
Corker 69-119,Essex,Coker 425
Yelredo,Nanda,Coker 433
Jackson,Coker 56-251,Coker 4504
Centennial,(Coker 71-211*Hutton),Coker 485
Hampton 266,Bragg,Coker 488
Jackson,Coker 56-3492,Coker 5322
Unspecified,Unspecified,Coker 56-251
Unspecified,Unspecified,Coker 56-3492
Majos,Lee,Coker 57-225
Majos,Lee,Coker 57-248
Majos,Lee,Coker 57-257
Majos,Lee,Coker 58-240
Majos,Lee,Coker 58-266
Majos,Lee,Coker 60-231
Stuart,F56-3492,Coker 6307
Stuart,F56-3492,Coker 6718
Unspecified,Unspecified,Coker 6727
Braxton,Coker 368,Coker 6738
Hampton 266,Bragg,Coker 68-38
Hampton 266,Bragg,Coker 68-41
Unspecified,Unspecified,Coker 6847
Hampton 266,Bragg,Coker 69-119
Unspecified,Unspecified,Coker 6955
Hampton 266,Bragg,Coker 71-211
Hampton 266,Coker 338,Coker 71-222
Hampton 266,Bragg,Coker 72-286
Hampton 266,Bragg,Coker 73-410
Hampton 266,Bragg,Coker 73-473
Corker 208,R64-502,Coker 74-546
Hampton 266,Ransom,Coker 75-756
(N64-2451*Dyer),Pickett 71,Coker 76-853
Hampton 266A,Pickett 71,Coker 76-863
Coker 237,NA,Coker 76-927
Corker 71-211,Centennial,Coker 79-501
Corker 73-473,Centennial,Coker 79-760
Centennial,((Hampton 266*Bragg)*Hutton),Coker 80-764
Centennial,Corker 76-863,Coker 80-917
Coker 488,D74-7741,Coker 82-537
Braxton,Coker 368,Coker 82-622
Braxton,Coker 368,Coker 82-645
Coker 368,(Corker 317*D77-6103),Coker 85-483
Majos,Lee,Coker Hampton 266A
Hark,(Provar*(Disoy*Magna)),Coles
Unspecified,Unspecified,Colfax
Kent,NA,Colland
Wright,Braxton,Colquitt
C1069,Clark,Columbus
Pagoda,Mandarin (Ottawa),Comet
Asgrow A3127,Tri-Valley Charger,Conrad
Braxton,Young,Cook
Bedford,D72-8927,Cordell
Essex,Harper,Corsica
Harosoy,Capital,Corsoy
Corsoy (6),Lee 68,Corsoy 79
Corsoy (5),(Anoka*Mack),Corsoy R3
Ozzie,Dawson,Council
Unspecified,Unspecified,CR03-540
Williams,Columbus,Crawford
Introduction,NA,Creole
F8-291,Mandarin (Ottawa),Crest
PI 171451,Hampton 266,Crockett
HC80-1944,Asgrow A3127,Croton 3.9
Unspecified,Unspecified,CRS-998-24-1
Unspecified,Unspecified,CRS3
Various,NA,CRS3-998-24-1
Unspecified,Unspecified,CRS7C1-13-1
Unspecified,Unspecified,CSR 3322
Corsoy,Williams,Cumberland
((((Peking*Scott)*(Peking*Scott)) *Scott))*Blackhawk)),(Peking*Scott),Custer
C1069,Clark,Cutler
Cutler (4),SL5,Cutler 71
Cutler 71 (5),Pando,CX1307-205
Dunfield,X143,CX1339-30
CRS3-998-24-1,C1813,CX1515-4
CRS-998-24-1,C1727,CX1517-171
L46-1503,Bavender Special-2,CX166-103N-1
Mandarin (Ottawa),L46-2132,CX168-46-5
Mukden,L46-2132,CX169-9-2
CRS7C1-13-1,Savoy,CX1705R-108
CX1515-4,NA,CX1834
Athow,M153-1-4-6-14,CX1834-1-2
Athow,M153-1-4-6-14,CX1834-1-6
C1070,Adams,CX192-28-3
Perry,C1066,CX193-88-3
C143,X531,CX2239-50
Dunfield,Midwest,CX231-108-2-8-1-5-1
Dunfield,Midwest,CX231-108-2-8-1-5-5
Dunfield,Midwest,CX231-187-1-2-1-4
Dunfield,Midwest,CX231-261-1-1-1
CX259,CX366,CX252
PI 65338,C1079,CX258-2-3-2
Mukden,C1069,CX291-42-1
Ford,Shelby,CX314-50
Ford,Shelby,CX314-56
Ford,Shelby,CX314-81
Illini,Mandell,CX331-129-2-2-2
Illini,Mandell,CX331-407-1-1-2
Illini,Mandell,CX331-51-14-1-7-4
Illini,Mandell,CX331-97-1-3-1
Amsoy,C1253,CX407
Amsoy (8),C1253,CX407BC7-255
Amsoy (8),C1253,CX407BC7-310
Amsoy (8),C1253,CX407BC7-326
Amsoy (8),C1253,CX407BC7-50
Amsoy (8),C1253,CX407BC7-53
Wayne,C1317,CX412
CX407,CX412,CX413
Illini,Midwest,CX431-281-1-7-2
Cutler,C1311,CX463-3
Midwest,Dunfield,CX531
Midwest,Dunfield,CX531-265-1-5-5
Midwest,Dunfield,CX531-265-2-1-1
Midwest,Dunfield,CX531-265-2-1-1-2
Midwest,Dunfield,CX531-265-2-1-1-6
Midwest,Dunfield,CX531-265-2-1-1-7
Midwest,Dunfield,CX531-265-2-1-1-8
Midwest,Dunfield,CX531-265-2-1-2
Midwest,Dunfield,CX531-468-3-3-2
Midwest,Dunfield,CX531-468-3-3-2-3
Midwest,Dunfield,CX531-468-3-3-2-7
Dunfield,MM-31,CX731-128-1-3
Dunfield,MM-31,CX731-63-1-1
Dunfield,MM-31,CX731-66-1-1
Cutler 71 (3),Pando,CX797-21
Dunfield,MM-21,CX831-151-2-5-2-5
Dunfield,MM-21,CX831-362-1-3-1-6-5
Dunfield,MM-21,CX831-88-3-1-3-3
Dunfield,NA,CX931-1
Korean,NA,Cypress No. 1
Unknown,Unknown,D-1
Unknown,Unknown,D-10
Unknown,Unknown,D-12
Unknown,Unknown,D-8
((A-7*Altona)*P71-39),((A-7*M62-173)*Holmberg 840-2-7),D0-9-2-1-2
Wayne,NA,D3003
Chief,Arksoy,D414-714
Arksoy,Patoka,D417-721
Dunfield,Arksoy,D418-177 &nbsp;
Patoka,Arksoy,D418-177 &nbsp;&nbsp;
L7-1355,Magnolia,D421-737
Unspecified,Unspecified,D45-2437
Unspecified,Unspecified,D48-1248
Dunfield,Tennessee Non pop,D49-247
S-100,C.N.S.,D49-2477
S-100,C.N.S.,D49-2491
S-100,C.N.S.,D49-2510
S-100,C.N.S.,D49-2524
S-100,C.N.S.,D49-2525
Unspecified,Unspecified,D49-2570
Roanoke,N45-745,D49-2573
Roanoke,Rose Non pop,D49-507
Roanoke,N45-745,D49-533
Roanoke,N45-745,D49-588
Roanoke,N45-745,D49-757
Roanoke,N45-745,D49-772
Roanoke,N45-745,D49-854
Macoupin,Arksoy,D49-977
Unspecified,Unspecified,D50-1633
Unspecified,Unspecified,D50-203
N46-191,N45-745 (2),D50-204
Unspecified,Unspecified,D5064
Roanoke,N45-745,D51-4839
Roanoke,N45-745,D51-4863
Roanoke,N45-745,D51-4871
Roanoke,N45-745,D51-4877
Roanoke,N45-745,D51-4888
Roanoke,N45-745,D51-4891
Roanoke,N45-745,D51-4969
Roanoke,N45-745,D51-4977
Roanoke,N45-745,D51-5052
Roanoke,N45-745,D51-5091
Roanoke,N45-745,D51-5100
Unspecified,Unspecified,D51-5108
Ralsoy,Ogden,D51-5427
C171,Arksoy 2913,D512-3
Chief,Arksoy 2913,D514-13
Chief,Arksoy 2913,D514-20
Arksoy,Patoka,D517-14
Arksoy,Patoka,D517-3 &nbsp;
Patoka,Arksoy 2913,D517-3 &nbsp;&nbsp;
Arksoy,Patoka,D517-4
N48-12-48,Perry,D52-108
N48-1248 (3),Adams,D52-13
N48-1248,Perry,D52-131
N48-1248,Perry,D52-137
N48-12-48,Adams,D52-14
N48-1248,Adams,D52-16
D632-15,D49-2525,D52-1776
N48-1248,Adams,D52-18
N48-12-48,Perry,D52-187
D632-15,D49-2525,D52-1951
N48-1248,Perry,D52-203
N48-12-48,Perry,D52-212
N48-1248,Perry,D52-217
N48-12-48,Adams,D52-23
N48-12-48,Adams,D52-52
N48-1248,Adams,D52-78
Roanoke,Ogden,D52-810
Roanoke,N45-745,D52-834
Dunfield,Arksoy,D523-25
Dunfield,Arksoy,D523-30
Dunfield,Arksoy,D523-41
D49-2525,L6-5679,D53-1254
D632-15,D49-2525,D53-1301
D48-1248,Perry,D53-138
D49-2525,L6-5679,D53-142
N46-1703,D49-2525,D53-1569
D49-2525,L6-5679,D53-163
N46-1703,D49-2525,D53-1664
D49-2525,L46-5679,D53-184
D49-2525,L46-5679,D53-190
D49-2525,L46-5679,D53-206
D49-2525,L46-5679,D53-229
D49-2525,L46-5679,D53-233
D49-2525,L46-5679,D53-354
D49-2525,L46-5679,D53-375
D49-2525,L46-5679,D53-441
D632-15,D49-2525,D53-481
D632-15,D49-2525,D53-492
D632-15,D49-2525,D53-500
D632-15,D49-2525,D53-518
D632-15,D49-2525,D53-526
D632-15,D49-2525,D53-542
D49-2570,L3-2010,D53-640
L7-163,D49-2573,D53-697
Dunfield,Arksoy,D532-25
Wabash,D49-2573,D54-2213
N48-1394,L6-5679,D54-2437
Unspecified,Unspecified,D54-3270
N49-2525,L6-5679,D54-3281
D49-2525,L6-5679,D54-3310
D632-15,D49-2525,D54-3340
D632-15,D49-2525,D54-3350
D632-15,D49-2525,D54-3362
Wabash,D49-2573,D54-3416
Ogden,Arksoy,D540-1
D50-203,D49-757,D55-4060
Volstate,Biloxi,D55-4073
Ogden,C.N.S.,D55-4090
Unspecified,Unspecified,D55-4102
Ogden,C.N.S.,D55-4110
Ogden,Biloxi,D55-4159
Ogden,Biloxi,D55-4168
Dorman,N48-1515,D55-8144
D51-5108,Dorman,D56-1087
D51-5108,Dorman,D56-1102
D51-5108,Dorman,D56-1131
Perry,Lee,D56-1185
Perry,Lee,D56-1192
Perry,Lee,D56-1231
Hawkeye,Lee,D56-1241
Perry,Lee,D56-1247
Dorman (2),N48-1515,D56-126
PI 179826,D49-2510,D56-1404
Dorman (4),N48-1515,D56-3
Lee (2),PI 163453,D56-4065
Roanoke (2),D49-2491,D57-1194
Roanoke,D49-2491,D57-1299
Jackson,D49-2491,D57-1501
D49-2491 (5),Dorman,D58-1894
D49-2491 (6),Dorman,D58-1899
Jackson (4),D49-2491,D58-3311
Jackson (4),D49-2491,D58-3358
D51-5052,D49-2491,D58-4300
D51-5052,D49-2491,D58-4384
Ogden,D49-2491,D58-5111
Unspecified,Unspecified,D58-5788
Unspecified,Unspecified,D59-1619
D55-4168,Hill,D59-2205
Hill,D52-810,D59-268
Hill,D52-810,D59-377
Hill,D52-810,D59-415
Hill,D52-810,D59-428
Hill,D52-810,D59-630
Hill,D52-810,D59-693
Hill,D52-810,D59-706
D51-4877,D55-4168,D59-9289
D49-2573,Nansemond,"D60-11,082"
D49-2573,Nansemond,"D60-11,215"
D51-5427,D49-2491,"D60-12,327"
D55-4110,N56-4071,D60-5234
Hill,D53-354,D60-5702
Hill,D53-354,D60-5818
Hill,D53-354,D60-5847
Hill,D51-4877,D60-6458
D55-4090,D55-4159,D60-7965
D51-4877,D55-4168,D60-8107
Unspecified,Unspecified,D60-9240
FC 31745,D49-2510,D60-9647
Hill (2),D51-4877,D61-1185
Hill,(D49-2491 (2)*Tanner),D61-2002
D54-3270,D54-2437,D61-214
D54-3270,D54-2437,D61-238
D49-2491 (4),PI 171862,D61-2624
D49-2491 (6),PI 174862,D61-3498
D49-2491 (2),PI 171862,D61-3505
D49-2491 (6),L3-2010,D61-3791
D49-2491 (6),Barchet,D61-4269
Dorman (5),PI 181537,D61-5141
Lee,PI 200532,D61-5264
Hill (2),PI 171442,D61-618
Hill (2),D51-4877,D61-858
Hill (2),D51-4877,D61-901
Hill (2),D51-4877,D61-929
D49-2491 (4),PI 163453,D62-3286
Hill,Sioux,D62-6225
Hill,Sioux,D62-6289
Arksoy,D49-2491,D62-6913
Arksoy,D49-2491,D62-6959
